"id","note","created_at","lead_id"
"3","1. diskusi mengenai marketing digital
2. tertarik dengan landing page","2025-06-20 15:37:35.139371","3"
"4","1. perlu bertemu dan diskusi,
2. bisa untuk training di universitas NU
3. perlu buat Company Profile","2025-06-20 15:39:55.723060","4"
"5","1. konsultan untuk sawit","2025-06-20 15:40:17.850469","5"
"6","ada di dalam list sdm portabel","2025-06-20 15:41:17.514114","7"
"7","terkoneksi via linkedin, sudah dihubungi dengan add note","2025-07-13 20:27:00.567802","8"
"8","sudah dihuubngi via linkedin untuk potensi kerja sama HRIS perekrutan tenaga sawit","2025-07-13 20:36:28.918290","9"
"9","cek app perpuskite","2025-08-27 13:01:13.792158","10"
"10","buatkan marketplace untuk sablon","2025-08-27 13:01:31.794253","3"
"11","buat aplikasi untuk survey data dari rt sampai ke desa","2025-08-27 13:02:13.956919","11"
"12","tambahkan dashboard juga","2025-08-27 13:02:22.598562","11"
"14","* coba untuk ajak acara sawit di qubu resort 24-26 Septmber 2025 * buatkan aplikasi untuk pengaturan tenaga outsource

Tambah Interaksi

Note:","2025-08-27 13:03:55.529657","9"
"15","ikut pelatihan mereka kunjungi web nya","2025-08-27 13:04:56.114063","13"
"16","closed sepertinya gagal","2025-08-29 09:49:41.229197","8"
"17","gieta amali marketer sebagai product testes","2025-08-31 18:20:21.026947","10"
"18","tawarkan mengenai sdm portabel","2025-08-31 18:20:59.158484","17"
"19","ada yang masuk dari pontiprenerur tapi setelah itu tidak hubungi lagi","2025-10-07 15:19:02.076104","18"
"20","konvert ke pak Hendra","2025-10-07 15:19:50.221931","14"
"21","ada kirim 2 email di Jumat 3 Oktober 2025","2025-10-07 15:42:30.759482","20"
"22","setuju untuk membuat rak nusantara","2025-10-07 15:43:14.274596","4"
"23","https://www.instagram.com/p3sm_eradayadigital/

dikontak via ig sdmportabel , sepertinya cukup terbuka","2025-10-07 15:45:27.666655","21"
"24","ada diskusi mengenai akuntasi untuk TKD dan BUMDES","2025-10-09 09:38:05.777690","19"
"25","lokasi di kebun","2025-10-09 09:38:23.631790","16"
"26","sudah di info mengenai app untuk KK","2025-10-20 14:43:08.916298","22"
"27","ditambah info mengenai akuntasi untuk bumdes","2025-10-20 14:43:53.325172","11"
"28","update app pada tanah masih kurang pada survey","2025-11-04 08:03:24.063679","22"
